Česká glosa;Řečtina;Cvičení
pomáhám;συμ-πράττω (s dat.);15
více - než;μᾶλλον - ἤ;15
železo;ὁ σίδηρος, ου;15
strážce;ὁ φύλαξ, κος;16
barbar, cizinec, Neřek;ὁ βάρβαρος, ου;16
šik;ἡ φάλαγξ, γος;16
pochlebník;ὁ κόλαξ, κος;16
sup;ὁ γύψ, γυπός;16
vlas;ἡ θρίξ, τριχός;16
vládnu někomu, nad;ἄρχω;16
opouštím;ἀπο-λείπω;16
ani;οὐδέ;16
první;πρῶτος 3;16
řadím;τάττω;16
žena;ἡ γυνή, γυναικός;16
mlčení;ἡ σιγή, ῆς;16
ozdoba;ὁ κόσμος, ου;16
pronásleduji;διώκω;16
lehkooděnec;ὁ γυμνής, ῆτος;17
duše;ἡ ψυχή, ῆς;17
naděje;ἡ ἐλπίς, ίδος;17
živím, vydržuji, vychovávám;τρέφω;17
tělo;τὸ σῶμα, ατος;17
štít;ἡ ἀσπίς, ίδος;17
vlast;ἡ πατρίς, ίδος;17
báseň;τὸ ποίημα, ατος;17
slyším, poslouchám;ἀκούω;17
skutek, čin, věc;τὸ πρᾶγμα, ατος;17
obtížné poměry, obtížné postavení;τὰ χαλεπὰ πράγματα;17
chlapec (dívka);ὁ (ἡ) παῖς, παιδός;18
noha;ὁ πούς, ποδός;18
kráčím, jdu;βαίνω;18
ucho;τὸ οὖς, ὠτός;18
noc;ἡ νύξ, νυκτός;18
v noci;νυκτός (gen. času);18
mléko;τὸ γάλα, ακτος;18
Artemis;ἡ Ἄρτεμις, ιδος;18
přilba;ἡ κόρυς, θος;18
kopí, dřevce;τὸ δόρυ, δόρατος;18
vděk;ἡ χάρις, χάριτος;18
svár;ἡ ἔρις, ἔριδος;18
plodím, rodím;τίκτω;18
pták;ὁ (ἡ) ὄρνις, ὄρνιθος;18
voda;τὸ ὕδωρ, ὕδατος;18
piji;πίνω;18
stařec;ὁ γέρων, οντος;19
obr;ὁ γίγας, αντος;19
Gigant;ὁ Γίγας, αντος;19
bůh;ὁ θεός, οῦ; 19
přísloví;ἡ παροιμία, ας;19
rada;ἡ βουλή, ῆς;19
lev;ὁ λέων, οντος;19
zub;ὁ ὀδούς, όντος;19
všechen, celý, každý;πᾶς, πᾶσα, πᾶν;19
je povinností ženy;τῆς γυναικός ἐστιν;19
dobro;τὸ ἀγαθόν, οῦ;19
vinný, původce, příčina;αἴτιος 3;19
užitečný, prospěšný;χρήσιμος 3, 2;19
učím někoho;διδάσκω (s ak.);20
poklad;ὁ θησαυρός, οῦ;20
Alexandros;ὁ Ἀλέξανδρος, ου;20
táhnu, podnikám výpravu;στρατεύομαι;20
proti;ἐπί (s ak.);20
Řecko;ἡ Ἑλλάς, άδος;20
Miltiadés;ὁ Μιλτιάδης, ου;20
již;ἤδη;20
ještě;ἔτι;20
mlčím, zachovávám mlčení;σιγὴν ἔχω;20
sůl;ὁ ἅλς, ἁλός;21
život;ὁ βίος, ου;21
nutný;ἀναγκαῖος 3;21
někteří;ἔνιοι 3;21
zvíře;ὁ θήρ, θηρός;21
řečník;ὁ ῥήτωρ, ορος;21
jaro;τὸ ἦρ, ἦρος;21
svědek;ὁ μάρτυς, υρος;21
přivádím;προσ-άγω;21
do;εἰς (s ak.);21
opouštím, zanechávám;κατα-λείπω;21
obracím se;τρέπομαι;21
kam?;ποῖ;21
otec;ὁ πατήρ, πατρός;22
sláva;ἡ εὔκλεια, ας;22
jsem vděčen, chovám vděčnost;χάριν ἔχω;22
matka;ἡ μήτηρ, μητρός;22
Persefoné;ἡ Περσεφόνη, ης;22
Démétér;ἡ Δημήτηρ, τρος;22
dcera;ἡ θυγάτηρ, τρός;22
ruka;ἡ χείρ, ρός;22
myji;νίζω;22
žaludek;ἡ γαστήρ, τρός;22
otročím, sloužím;δουλεύω;22
muž;ὁ ἀνήρ, δρός;22
kdysi, jednou;ποτέ;22
zdrženlivost, střídmost;ἡ ἐγκράτεια, ας;23
když;ὅτε;23
s, se;σύν (s dat.);23
skrze;διά (s gen.);23
bez vody;ἄνυδρος 2;23
tísním, soužím;πιέζω;23
žízeň;ἡ δίψα, ης;23
tu tedy;ἔνθα δή;23
plný;μεστός 3;23
přináším;προσ-φέρω;23
ten pak, a on;ὁ δέ;23
beru, přijímám, dostávám;λαμβάνω;23
jediný, samotný;μόνος 3;23
okouším, prožívám;ἀπο-λαύω (s gen.);23
chci;βούλομαι;23
obracím, převracím;ἀνα-τρέπω;23
poznávám;γιγνώσκω;23
ani - ani;οὔτε - οὔτε;23
poroučím, vybízím;κελεύω;23
znepokojuji, děsím;ταράττω;23
tak;οὕτω(ς);23
horlivý, snaživý;σπουδαῖος 3;24
pracuji;ἐργάζομαι;24
co (u superlativu);ὡς, ὅτι;24
tento;ὅδε;24
ten;οὗτος;24
onen;ἐκεινος;24
chvála;ὁ ἔπαινος, ου;24
hodný (něčeho);ἄξιος 3;24
a ne;μηδέ;24
lék;τὸ φάρμακον, ου;24
prospěšný;ὠφέλιμος 2, 3;24
chci;ἐθέλω;24
sám;αὐτός;24
týž;ὁ αὐτός;24
jiný;ἄλλος;24
ostatní;οἱ ἄλλοι;24
tak veliký (v pl. tolik);τοσόσδε;24
jak veliký (v pl. kolik);ὅσος;24
hrozný, strašný;φοβερός 3;24
každý;ἕκαστος 3;24
moudrost;ἡ σοφία, ας;24
statek;τὸ κτῆμα, ατος;24
oko;ὁ ὀφθαλμός, οῦ;24
nespolehlivý;ἄπιστος 2;24
nestřídmost;ἡ ἀκράτεια, ας;24
škodlivý;βλαβερός 3;24
než;ἤ;24
rád;ἑκών 3;24
strojím úklady;ἐπι-βουλεύω;24
rozkoš;ἡ ἡδονή, ῆς;24
Kýros;ὁ Κῦρος, ου;24
místo, proti;ἀντί (s gen.);24
kraluji, vládnu;βασιλεύω (s gen.);24
jméno;τὸ ὄνομα, ατος;24
předkové;οἱ πρό-γονοι, ων;24
strach;ὁ φόβος, ου;24
naháním strach;ἐμ-βάλλω φόβον;24
způsob;ὁ τρόπος, ου;24
jiným způsobem;ἄλλον τρόπον;24
já;ἐγώ;25
ty;σύ;25
my;ἡμεῖς;25
vy;ὑμεῖς;25
s;μετά (s gen.);25
starám se, pečuji;ἐπι-μέλομαι;25
příliš;ἄγαν;25
neboť, totiž;γάρ;25
viklám, přivádím do záhuby;σφάλλω;25
sebe vespolek, navzájem;ἀλλήλων;25
včela;ἡ μέλιττα, ης;25
občas;ἐνίοτε;25
bodec, žihadlo;τὸ κέντρον, ου;25
zraňuji;τιτρώσκω;25
trpký;πικρός 3;25
za;ὑπέρ (s gen.);25
za vlast;ὑπὲρ τῆς πατρίδος;25
Řek, Hellén;ὁ Ἕλλην, ηνος;26
louka;ὁ λειμών, ῶνος;26
pastýř;ὁ ποιμήν, ένος;26
soused;ὁ γείτων, γείτονος;26
pes;ὁ, ἡ κύων, κυνός;26
Apollón;ὁ Ἀπόλλων, ωνος;26
blažený;εὐ-δαίμων, εὔ-δαιμον;26
ubohý;τάλας 3;26
zima;ὁ χειμών, ῶνος;26
v zimě;χειμῶνος;26
sníh;ἡ χιών, χιόνος;26
Agamemnón;ὁ Ἀγαμέμνων, ονος;26
lid;ὁ λαός, οῦ;26
Xenofón;ὁ Ξενοφῶν, ῶντος;26
rozumný;σώ-φρων, σῶ-φρον;26
vůdce;ὁ ἡγεμών, όνος;26
stádo;ἡ ἀγέλη, ης;26
zápas;ὁ ἀγών, ῶνος;26
černý;μέλας, μέλαινα, μέλαν;26
Hádes;ὁ Ἅιδης, ου;26
konec, smrt;ἡ τελευτή, ῆς;26
rozkazuji (někomu);κελεύω (s ak.);27
Dareios;ὁ Δαρεῖος, ου;27
Kambýsés;ὁ Καμβύσης, ου;27
Antigoné;ἡ Ἀντιγόνη, ης;27
mrtvý;νεκρός 3;27
tajně;κρύφα;27
pohřbívám;θάπτω;27
pravda;ἡ ἀλήθεια, ας;27
ani - ani;μήτε - μήτε;27
kryji, tajím, zakrývám;κρύπτω;27
mluvím pravdu;ἀληθεύω;27
Sýrie;ἡ Συρία, ας;27
obora, sad;ὁ παράδεισος, ου;27
vysekávám, kácím;ἐκ-κόπτω;27
kdo, který?;τίς;28
co, které?;τί;28
nejvíce, nejspíše;μάλιστα;28
pro, kvůli;ἕνεκα (s gen.);28
proč?;τίνος ἕνεκα;28
nauka, věda;τὸ μάθημα, ατος;28
řecký, hellénský;Ἑλληνικός 3;28
hlasatel;ὁ κῆρυξ, υκος;28
mluvím (ve shromáždění), řečním;ἀγορεύω;28
oběť;ἡ θυσία, ας;28
modlím se, slibuji;εὔχομαι;28
Marathón;ὁ Μαραθών, ῶνος;28
pozdní poznání, lítost;ἡ μετά-νοια, ας;28
podrobuji si;κατα-στρέφομαι;28
sbírám, shromažďuji, svolávám;συλ-λέγω;28
klamu;ψεύδω;28
lžu;ψεύδομαι;28
obesílám, povolávám si k sobě;μετα-πέμπομαι;28
ozbrojuji;ὁπλίζω;28
závodím, zápasím;ἀγωνίζομαι (πρός s ak.);28
miluji, mám rád; φιλῶ, φιλεῖν;29
činím, dělám; ποιῶ, ποιεῖν;29
kde; ὅπου;29
prospívám; ὠφελῶ, εῖν (s ak.);29
přiznávám; ὁμο-λογῶ, εῖν;29
křivdím; ἀ-δικῶ, εῖν (s ak.);29
zrádce; ὁ προ-δότης, -δότου;29
nenávidím; μισῶ, εῖν;29
kormidelník; ὁ κυβερνήτης, -νήτου;29
ztroskotávám; ναυ-αγῶ, εῖν;29
jsem nešťasten, mám nezdar; ἀ-τυχῶ, εῖν;29
jsem nešťasten, mám nezdar; δυσ-τυχῶ, εῖν;29
jsem šťasten; εὐ-τυχῶ, εῖν;29
pomáhám; βοηθῶ, εῖν (s dat.);29
pro; διά (předl. s ak.);29
příčina, důvod; ἡ αἰτία, ας;29
válčím s...; πολεμῶ, εῖν (s. dat.);29
starám se, pečuji, dbám;ἐπι-μελοῦμαι, εῖσθαι;30
jsem nemocen;νοσῶ, εῖν;30
Lakedaimoňané;οἱ Λακεδαιμόνιοι;30
zdobím;κοσμῶ, εῖν;30
hlava;ἡ κεφαλή, ῆς;30
druh, přítel;ὁ ἑταῖρος, ου;30
trpím (snáším) křivdu;ἀ-δικοῦμαι, εῖσθαι;30
trestám, mstím se;τιμωροῦμαι, εῖσθαι (s ak.);30
napodobuji;μιμοῦμαι, εῖσθαι (s gen.);30
vznešený, úctyhodný;σεμνός 3;30
ošklivý, hanebný;αἰσχρός 3;30
mrav, povaha;ὁ τρόπος, ου;30
špatný, zlý, podlý;πονηρός 3;30
šlechetný, řádný, statný;ἐσθλός 3;30
hájím se, bráním se;ἀπο-λογοῦμαι, εῖσθαι;30
velmi, velice;μάλα;30
bojím se;φοβοῦμαι, εῖσθαι;30
zmocňuji se;κρατῶ, εῖν (s gen.);30
žák;ὁ μαθητής, οῦ;30
pokládám, uznávám, domnívám se, mám za to;ἡγοῦμαι, εῖσθαι (s dvojím ak.);30
sluším;πρέτω;30
stud;ἡ αἰσχύνη, ης;30
spravedlnost;ἡ δικαιοσύνη, ης;30
rozumnost;ἡ σωφροσύνη, ης;30
zisk;τὸ κέρδος, κέρδους;31
trest;ἡ ζημία, ας;31
jako;ὡς;31
zeď, hradba;τὸ τεῖχος, τείχους;31
meč;τὸ ξίφος, ους;31
hubím, ničím;φθείρω;31
lež;τὸ ψεῦδος, ψεύδους;31
když, kdy;ὅτε;31
rod, pokolení;τὸ γένος, ους;31
radím;βουλεύω;31
hora, pohoří;τὸ ὄρος, ους;31
těžkooděnec;ὁ ὁπλίτης, ου;31
přilba;τὸ κράνος, ους;31
krunýř;ὁ θώραξ, ακος;31
holeň, holínka, chránítko na holeň;ἡ κνημίς, ῖδος;31
Antalkidas, Sparťan;ὁ Ἀνταλκίδας, ου;31
Sparta, město v Lakónice;ἡ Σπάρτη, ης;31
utrpení, bolest, choroba, vzrušení;τὸ πάθος, ους;31
zvyk, obyčej, mrav;τὸ ἦθος, ἥθους;31
užitečný, hodný, řádný, poctivý;χρηστός 3;31
společnost, styk, obcování, přátelství;ἡ ὁμιλία, ας;31
Héraklés;ὁ Ἡρακλῆς, κλέους;32
známý;γνώριμος 3,2;32
slavný;εὐ-κλεής, ές;32
nepřátelský, nepříznivý;ἐχθρός 3;32
jak (při zvolání);ὡς;32
nešťastný;δυσ-τυχής 2;32
Démosthenés;ὁ Δημοσθένης, σθένους;32
Themistoklés;ὁ Θεμιστοκλῆς, κλέους;32
Filippos;ὁ Φίλιππος, ου;32
úklad;ἡ ἐπι-βουλή, ῆς;32
jasný, zřejmý, zřetelný;σαφής, σαφές;32
Periklés;ὁ Περικλῆς, κλέους;32
hrom, blesk;ὁ κεραυνός, οῦ;32
na (na otázku kde?);ἐπί (s dat.);32
Sókratés;ὁ Σωκράτης, ους;32
šťastný;εὐ-τυχής, ές;32
příbuzný;συγ-γενής, ές;32
lživý;ψευδής, ές;32
mající moc (v rukou), zdrženlivý, střídmý;ἐγ-κρατής, ές;32
zdravý;ὑγιής, ές;32
nemírný, nestřídmý;ἀ-κρατής, ές;32
urozený, ušlechtivý;εὐ-γενής, ές;32
neštěstí, nehoda;ἡ ἀ-τυχία, ας;32
trestám;ζημιῶ, οῦν;33
najímám, pronajímám;μισθῶ, οῦν;33
žoldnéř, námezdný voják;ὁ ξένος, ου;33
horlivě následuji, horlivě napodobuji;ζηλῶ, οῦν;33
dobromyslný, nakloněný, oddaný;εὔ-νους, εὔ-νουν;33
zlomyslný, protivný, zlo zamýšlející;κακό-νους, κακό-νουν;33
zloděj;ὁ κλέπτης, ου;33
rozum;ὁ νοῦς, νοῦ;33
plavba;ὁ πλοῦς, πλοῦ;33
mám v úmyslu;ἐν νῷ μοί ἐστι;33
věnuji pozornost, pozorně si všímám;προσ-έχω νοῦν (s dat.);33
společný, obecný;κοινός 3;33
Foiníčané;οἱ Φοίνικες, νίκων;33
slabý;ἀ-σθενής, ές;33
kost;τὸ ὀστοῦν, ὀστοῦ;33
Hermés;ὁ Ἑρμῆς, οῦ;34
hermovky;οἱ Ἑρμαῖ, ῶν;34
olympský;Ὀλύμπιος 3;34
slavný, proslulý;ἔν-δοξος 2;34
obětuji;θύω;34
vítězím, pomáhám;νικῶ, ᾶν;34
ctím;τιμῶ, ᾶν;34
rád vidím, miluji, mám rád, vážím si;ἀγαπῶ, ᾶν;34
prokazuji dobrodiní;εὐ-εργετῶ, εῖν (s ak.);34
odvažuji se;τολμῶ, ᾶν;34
odvažuji se všeho;τολμῶ πάντα;34
Evropa;ἡ Εὐρώπη, ης;34
země;ἡ γῆ, γῆς;34
po;κατά (s ak.);34
po zemi, po souši;κατὰ γῆν;34
nesčíslný, nesmírný;ἀν-άριθμος 2;34
vojsko;τὸ στράτευμα, ατος;34
vytýkám (někomu něco);ἐπι-τιμῶ, ᾶν (s dat. osoby a ak. věci);34
Athény;αἱ Ἀθῆναι, ῶν;34
končím;τελευτῶ, ᾶν;34
končím život, umírám, dokonávám;τελευτῶ τὸν βίον;34
táži se;ἐρωτῶ, ᾶν;34
někdo, něco;τις, τι;34
nejasný, neurčitý;ἀ-σαφής, ές;34
tržiště, náměstí;ἡ ἀγορά, ᾶς;34
stavím;ἱδρύω;34
nemoc;ἡ νόσος, ου;35
léčím;ἰῶμαι, ἰᾶσθαι;35
hněv;ἡ ὀργή, ῆς;35
hraji si jen, dělám marné věci, tlachám;φλυαρῶ, εῖν;35
zvíře;τὸ θηρίον, ου;35
lovím;θηρῶ, ᾶν;35
jevím, zdám se;φαίνομαι;35
dříve než;πρίν;35
dívám se, přehlížím;θεῶμαι, θεᾶσθαι;35
Delfy;οἱ Δελφοί, ῶν;35
zlatý;χρυσοῦς, χρυσῆ, χρυσοῦν;35
stříbrný;ἀργυροῦς, ἀργυρᾶ, ἀργυροῦν;35
měsidlo, nádoba;ὁ κρατήρ, ῆρος;35
kovový, měděný;χαλκοῦς, χαλκῆ, χαλκοῦν;35
u;πρός (s dat.);35
železný;σιδηροῦς, σιδηρᾶ, σιδηροῦν;35
zbraň;τὸ ὅπλον, ου;35
nacházím;εὑρίσκω;35
nerozum, pošetilost;ἡ ἄ-νοια, ἀνοίας;35
dvojitý, dvojnásobný;δι-πλοῦς, διπλῆ, διπλοῦν;35
trojitý, trojnásobný;τρι-πλοῦς, τριπλῆ, τριπλοῦν;35
nařízení, peníz, peníze;τὸ νόμισμα, ατος;35
jednoduchý;ἁ-πλοῦς, ἁπλῆ, ἁπλοῦν;35
řeč;τὸ ἔπος, ἔπους;35
život, způsob života, živobytí, strava;ἡ δίαιτα, διαίτης;35
lékař;<a href="https://logeion.uchicago.edu/%E1%BC%B0%CE%B1%CF%84%CF%81%CF%8C%CF%82">ὁ ἰατρός, οῦ</a>;35
kdykoliv;ὅταν (= ὅτε + ἄν);35
